Rainfall,Humidity3pm,Pressure9am,RainToday,RainTomorrow
14.2,,1024.1,Yes,Yes
0.0,21.0,1011.8,No,No
0.2,57.0,1018.2,No,No
0.0,67.0,1017.0,No,No
0.6,47.0,1018.6,No,No
0.0,68.0,1030.2,No,No
0.0,19.0,1017.7,No,No
0.0,39.0,1030.7,No,No
0.0,53.0,1025.9,No,No
11.6,91.0,1016.4,Yes,Yes
1.4,46.0,1023.5,Yes,No
0.4,60.0,1023.9,No,No
0.0,32.0,1006.7,No,No
0.0,61.0,1016.4,No,No
4.8,59.0,1010.7,Yes,Yes
0.0,48.0,1025.9,No,No
,,,,
0.0,58.0,1007.6,No,Yes
0.6,61.0,1018.8,No,No
5.2,94.0,1006.8,Yes,Yes
0.0,33.0,1024.1,No,No
0.0,67.0,1017.0,No,No
0.0,67.0,1011.2,No,No
0.4,53.0,1025.2,No,No
0.0,57.0,1011.4,No,No
1.4,76.0,1014.6,Yes,Yes
0.4,58.0,1025.2,No,No
0.0,20.0,1018.6,No,No
0.0,21.0,1015.1,No,No
0.0,83.0,1010.3,No,Yes
0.0,48.0,1035.6,No,No
0.0,34.0,1013.1,No,No
2.8,80.0,,Yes,Yes
0.0,65.0,1021.9,No,No
4.0,61.0,1016.2,Yes,No
0.0,36.0,1027.1,No,No
13.6,72.0,1018.3,Yes,No
0.0,60.0,1018.3,No,No
2.8,67.0,1023.9,Yes,No
0.0,48.0,1026.6,No,No
0.0,66.0,1008.0,No,No
0.0,,1016.0,No,
0.0,51.0,1012.0,No,No
0.0,32.0,1022.9,No,No
5.0,85.0,1021.2,Yes,Yes
0.2,90.0,1019.0,No,Yes
0.2,64.0,1018.7,No,No
5.0,74.0,1021.2,Yes,No
0.4,12.0,1012.1,No,No
0.0,39.0,1032.0,No,No
0.0,30.0,1023.1,No,No
0.0,,,No,No
0.0,44.0,1019.6,No,No
0.0,57.0,1010.1,No,No
0.0,62.0,1008.0,No,No
0.0,60.0,1018.7,No,No
2.8,76.0,1020.8,Yes,No
0.2,53.0,1027.4,No,No
53.4,77.0,1021.7,Yes,Yes
0.0,54.0,1027.1,No,No
1.6,63.0,1000.7,Yes,Yes
0.0,34.0,1017.7,No,No
0.0,89.0,,No,Yes
0.0,21.0,1010.8,No,No
19.4,63.0,,Yes,Yes
0.0,9.0,1015.0,No,No
0.0,69.0,1023.6,No,No
,42.0,1014.9,,Yes
1.2,73.0,1025.8,Yes,Yes
0.0,36.0,1026.9,No,No
6.4,93.0,1017.1,Yes,Yes
,19.0,1010.0,,No
0.0,28.0,1014.7,No,No
0.0,58.0,1023.1,No,No
0.4,52.0,1030.4,No,No
0.0,10.0,1017.8,No,No
0.4,59.0,1009.2,No,No
0.0,7.0,1015.6,No,No
0.4,51.0,1003.1,No,No
0.4,43.0,1025.3,No,No
7.2,57.0,1022.0,Yes,No
3.4,92.0,1001.2,Yes,Yes
2.0,59.0,1013.8,Yes,Yes
0.0,55.0,1015.2,No,No
0.0,20.0,1002.9,No,No
0.0,14.0,1013.6,No,No
3.8,71.0,1027.2,Yes,No
0.0,98.0,1017.9,No,Yes
0.0,62.0,1011.9,No,No
0.0,26.0,1020.1,No,No
1.6,66.0,1025.7,Yes,Yes
0.0,34.0,1016.5,No,No
0.0,11.0,1016.5,No,No
0.0,,1020.4,No,No
0.0,42.0,1023.4,No,No
0.0,47.0,,No,No
0.4,53.0,1016.6,No,No
0.0,23.0,1022.7,No,No
0.0,9.0,1013.8,No,
0.0,64.0,1011.7,No,No
0.4,,1024.5,No,Yes
1.0,57.0,1031.0,No,No
2.4,98.0,,Yes,Yes
0.0,5.0,1009.9,No,No
0.4,48.0,1037.2,No,No
0.0,61.0,1016.3,No,No
0.0,,1021.1,No,No
0.0,10.0,1021.0,No,No
10.0,39.0,1019.6,Yes,No
0.0,67.0,1013.7,No,No
0.0,38.0,1014.9,No,No
0.0,50.0,1022.0,No,No
2.0,62.0,,Yes,No
0.0,16.0,1017.5,No,No
0.0,50.0,1017.2,No,No
0.0,44.0,1024.4,No,No
28.6,66.0,,Yes,No
0.0,19.0,1014.6,No,No
0.0,60.0,1016.9,No,No
26.4,,,Yes,No
0.0,68.0,1017.1,No,No
0.0,39.0,1018.7,No,No
12.0,71.0,1018.6,Yes,No
0.0,26.0,1003.1,No,No
0.0,55.0,998.6,No,No
36.0,76.0,1012.6,Yes,Yes
10.0,78.0,1020.0,Yes,No
2.6,72.0,1017.1,Yes,No
0.0,79.0,1026.3,No,No
2.8,62.0,1017.9,Yes,No
8.8,94.0,1011.6,Yes,Yes
75.0,96.0,1009.0,Yes,Yes
0.0,20.0,1022.4,No,No
0.2,41.0,1026.4,No,No
0.0,98.0,1022.4,No,Yes
0.0,29.0,1020.6,No,No
